@relation 'sysdev-weka.filters.unsupervised.attribute.Remove-R1,9-22-weka.filters.unsupervised.attribute.Remove-R3-4,6-7'

@attribute accelerationx-mean-300 numeric
@attribute accelerationy-mean-300 numeric
@attribute accelerationy-var-300 numeric
@attribute class {walking,sitting,standing}

@data
3.160833,-1.3275,0.009327,sitting
3.180672,-1.3,0.007395,sitting
3.243697,-1.269748,0.006144,sitting
3.309244,-1.237815,0.004032,sitting
3.354622,-1.242857,0.00497,sitting
3.315966,-1.260504,0.004911,sitting
3.252101,-1.266387,0.003408,sitting
3.227731,-1.231092,0.002311,sitting
3.284034,-1.215966,0.00151,sitting
3.422689,-1.213445,0.002004,sitting
3.481513,-1.206723,0.002308,sitting
3.443697,-1.192437,0.001035,sitting
3.383193,-1.164706,0.004132,sitting
3.384874,-1.157983,0.004621,sitting
3.405882,-1.155462,0.004655,sitting
3.419328,-1.193277,0.00298,sitting
3.405882,-1.218487,0.002683,sitting
3.460504,-1.226891,0.003311,sitting
3.455462,-1.210924,0.003494,sitting
3.472269,-1.192437,0.003052,sitting
3.415833,-1.2025,0.003077,sitting
3.404202,-1.205882,0.002739,sitting
3.383193,-1.227731,0.003012,sitting
3.377311,-1.231933,0.00335,sitting
3.42605,-1.262185,0.002688,sitting
3.439167,-1.2475,0.00266,sitting
3.418333,-1.229167,0.002233,sitting
3.365833,-1.204167,0.000566,sitting
3.357983,-1.205882,0.000722,sitting
3.402521,-1.210924,0.000973,sitting
3.418487,-1.217647,0.001621,sitting
3.409244,-1.211765,0.001374,sitting
3.384034,-1.217647,0.001789,sitting
3.383193,-1.22605,0.002094,sitting
3.395798,-1.236134,0.002308,sitting
3.403361,-1.223529,0.002304,sitting
3.397479,-1.213445,0.001668,sitting
3.386555,-1.222689,0.002258,sitting
3.393277,-1.234454,0.002594,sitting
3.394118,-1.223529,0.003312,sitting
3.396639,-1.221849,0.00322,sitting
3.401681,-1.217647,0.002798,sitting
3.405042,-1.221849,0.003892,sitting
3.405882,-1.220168,0.003795,sitting
3.397479,-1.230252,0.004127,sitting
3.396639,-1.229412,0.00258,sitting
3.395798,-1.215966,0.001846,sitting
3.397479,-1.215126,0.001788,sitting
3.40084,-1.223529,0.002304,sitting
3.404202,-1.222689,0.002931,sitting
3.402521,-1.22521,0.003062,sitting
3.40084,-1.223529,0.002472,sitting
3.397479,-1.22521,0.001885,sitting
3.395798,-1.223529,0.001799,sitting
3.4,-1.228571,0.002377,sitting
